Code,UI Glomeromycota,UI Glomeromycetes,UI Ambisporaceae,Ambispora,UI Ambisporaceae 2,UI Archaeosporaceae,Archaeospora,UI Archaeosporaceae2,UI Archaeosporales,UI Diversisporales,UI Acaulosporaceae,Acaulospora,Entrophospora,UI Acaulosporaceae2,Diversispora,UI Gigasporacea,UI Glomerales,UI Claroideoglomeraceae,Claroideoglomus,UI Claroideoglomeraceae2,UI Glomeraceae,Glomus,Rhizophagus,UI Glomeraceae2,UI Glomerales2,UI Paraglomerales,UI Paraglomerales2,UI Glomeromycetes2,UI Glomeromycota2
DESCES.48,0,0,0,0,0,0,0,0,0,0,0,0.068302579,0.002415226,0,0,0,0,0.000386436,0.002705053,0.002318617,0.022799729,0.040962226,0,0,0,0,0,0,0
DESCES.75,0,0.013751074,0,0,0,0,0,0,7.81E-05,0,0,0,0.000546918,0,0,0,0,0,0.000195328,0,0,3.91E-05,0.00921947,0.008320963,0,0,0.002695523,0,0
ELYSCR.36,0,0,0,0,0,0,0,0,0,0,0,0.060329558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELYSCR.39,0,0,0,0,0,7.97E-05,0,0,0,0,0,0.000159394,0.002908946,0,0,0,0,0,0,0.000318789,0,0,0,0,0,0,0.001633792,0,0
ELYSCR.47,0,0,0,0,0,0,0,0,0,0,0,0,0.020381037,0,0.000177226,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELYSCR.57,0,4.66E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000233133,0,0.00013988,0,0,0,0,0
ELYSCR.59,0,0,0,0,0,0.002118644,0,0,0,0,0,0.00529661,0,0.038135593,0,0,0,0,0,0,0,0.205508475,0,0.044491525,0,0,0,0,0
ELYSCR.60,0,0,0,0,0,0.014219935,0,0,0.171180932,0,0,0.000135428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERISIM.112,0,0,0,0,0,0,0.001277268,0,0,0,0,0.006991362,0.029007428,0,0,0,0,0.000134449,3.36E-05,0,0,0,0,0,0,0.000369735,0,0,0
FESBRA.0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FESBRA.103,0,0,0,0,0,0,0,0,0,0,0,0,0.001375648,0,0,0,0,0,0,0,0,0,9.60E-05,0,0,0,0,0,0
FESBRA.119,0,0,0,0,0,3.54E-05,0.000601365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001025859,0,0
FESBRA.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000374838,0,0,0,0,0,0
FESBRA.129,0,0,0,0.000159134,0,0,0,0,0,0,0,0,0.020528326,0,0,0,0,0,0,0,0,0,0,0,0,0,5.30E-05,0,0
FESBRA.13,0,0,0,0,0,0.000429295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FESBRA.133,0,0,0,0,0,0,0,0,0,0,0.000218786,0.000619895,0,0,0,0,0,0.001458576,0.000619895,0,0,0,0,0,0,0,0,0,0
FESBRA.136,0,0,0,0,0,0,0,0,0,0,0,0.016979601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FESBRA.141,0,0,0,0,0,0.00140647,0.000366905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FESBRA.18,0,0,0,0,0,0,0,0,0.000340356,0,0,0,0.001667744,0,0,0,0,0,0,3.40E-05,0,0,0,0,0,0,0,0,0
FESBRA.36,0,0,0,0,0,0,0,0,0,2.11E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FESBRA.47,0,0,0,0,0,0,0,0,0,0,0,0.000358327,0,0,0,0,0,0,0,0,0,0.000268745,0,0,0,0,0.011197707,0,0
FESBRA.51,0,0,0,0,0,0,0,0,0,0,0,0,0.000732294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FESBRA.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86E-05,0,0,0,0,0,0,0,0,0
FESBRA.59,0,0,0,0,0,0,0,0,0,0,0,0.001532176,0,0,0,0,0,0,0.009193054,0,0,0.012768131,0,0.000510725,0,0,0,0,0
FESBRA.60,0,0,0,0,0,0,0,0,0.000309502,0,0,0,0.022903126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FESBRA.61,0,0,0,0,0,4.57E-05,0.001097043,0,0,0,0,4.57E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FESBRA.62,0,0,0,0,0,0,0.000729927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FESBRA.66,0,0.009325221,0,0,0,0,0,0,0,0,0,0,0.00421928,0,0,0,0,0,0,0,0,0.003240896,0.000122298,0.009478093,0,0,0,0,0
FESBRA.7,0,0,0,0,0,0.000504842,4.59E-05,0,0,4.59E-05,0,0.040203773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FESBRA.99,0,0,0,0,0,0,0.001281066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEUROS.132,0,0,0,0,0.00082176,0,0,0,0,0,0,0,0.001890048,0,0,0,0,0,0,8.22E-05,0,0.00041088,0.003862273,0.000164352,0,0,0,0,0
GEUROS.56,0,0,0,0,0,0,0,0,0,0,0,0,0.009556481,0,0,0,0,0,0,0,0,0,0.000367557,0,0,0,0,0,0
GEUROS.66,0,0,0,0,0,0,0,0,2.84E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000255696,0,0,0,0,0
GEUROS.7,0,0,0,0,0,0,0,0,0,0.000313244,0,0,0,0,0,0,0,0.001033705,0.005481769,0,0,0,0,0,0,0,0,0,0
KOBMYO.104,0,0,0,0,0,0,0,0,0,0,0,2.07E-05,0,0,0,0,0,0,0,0,0,4.14E-05,0,0.000103455,0,0,0,0,0
