OID_,Aspect,Slope,Elevation,Mean,CV,Trend,Solar,Cover_1972,Cover_2008,1972B,1972T,1972S,1972O,1972C,2008T,2008S,2008B,2008O,2008C,Texpand,Sexpand,Bexpand,Oexpand,X,Y
689,312.39526,17.83129,3211.77222,0.21688833,0.927368345,-0.008485594,25.82944,O,O,0,0,0,1,0,0,0,0,1,0,0,0,0,0,449493,4435739
1528,50.11567,2.11813,3211.77539,0.1268025,0.961130567,0.019250874,25.6175,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,448836,4431450
1367,246.81166,11.43351,3211.87158,0.07096833,1.235965708,-0.000462727,27.12519,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,451343,4432180
646,245.36989,8.21415,3213.17725,0.08802333,1.096722721,-0.00203986,26.7988,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,449377,4431784
1437,140.93317,9.77109,3213.49072,0.11882417,0.917623867,0.00701549,26.13321,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,449722,4431737
803,182.0699,3.79453,3213.65503,0.07524,0.957559026,0.005017063,26.42256,S,S,0,0,1,0,0,0,1,0,0,0,0,0,0,0,449959,4432039
1729,175.80322,19.10159,3215.00244,0.0817975,1.229188073,-0.001694091,26.84374,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,450752,4432254
965,168.67595,16.20908,3215.08325,0.06449833,1.289107744,-0.00117993,26.75136,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,451850,4432478
1004,200.18994,9.05785,3215.20605,0.0306225,1.617968725,0.003136259,27.03629,S,O,0,0,1,0,0,0,0,0,1,0,0,-1,0,1,450105,4432037
1263,199.1187,9.98975,3215.74609,0.07779,1.251699921,0.005396084,27.20263,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,450409,4432000
1777,208.89149,5.77596,3216.28052,0.0619225,1.271668422,-0.001598077,26.88434,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,452122,4432463
1665,102.15316,11.7967,3216.3208,0.12590667,0.964826453,0.009417483,24.78142,O,O,0,0,0,1,0,0,0,0,1,0,0,0,0,0,449655,4431875
1470,76.53117,25.45274,3216.3645,0.0711025,1.242385674,0.000411993,20.78789,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,451573,4432345
